iter	Passed	Remaining
1090	18931	15773
1091	18944	15752
1092	18958	15732
1093	18973	15713
1094	18988	15693
1095	19004	15674
1096	19018	15655
1097	19029	15632
1098	19043	15612
1099	19057	15592
1100	19071	15572
1101	19084	15551
1102	19098	15531
1103	19112	15511
1104	19125	15490
1105	19139	15471
1106	19153	15450
1107	19168	15432
1108	19182	15412
1109	19196	15392
1110	19210	15371
1111	19223	15351
1112	19237	15331
1113	19251	15311
1114	19265	15291
1115	19279	15271
1116	19293	15251
1117	19307	15232
1118	19322	15212
1119	19335	15192
1120	19349	15171
1121	19362	15151
1122	19376	15132
1123	19390	15112
1124	19404	15092
1125	19417	15072
1126	19432	15052
1127	19446	15032
1128	19459	15012
1129	19473	14992
1130	19487	14973
1131	19501	14953
1132	19515	14933
1133	19528	14913
1134	19541	14893
1135	19555	14873
1136	19569	14853
1137	19583	14833
1138	19597	14814
1139	19610	14793
1140	19623	14773
1141	19637	14754
1142	19653	14735
1143	19667	14716
1144	19682	14697
1145	19696	14677
1146	19710	14658
1147	19723	14637
1148	19736	14617
1149	19750	14598
1150	19763	14577
1151	19778	14559
1152	19793	14540
1153	19807	14520
1154	19821	14501
1155	19835	14482
1156	19849	14462
1157	19864	14443
1158	19878	14424
1159	19893	14405
1160	19908	14386
1161	19921	14366
1162	19935	14347
1163	19948	14327
1164	19963	14308
1165	19977	14288
1166	19990	14269
1167	20004	14249
1168	20018	14230
1169	20031	14210
1170	20046	14192
1171	20060	14172
1172	20074	14153
1173	20089	14134
1174	20102	14114
1175	20116	14095
1176	20130	14075
1177	20144	14056
1178	20158	14037
1179	20173	14018
1180	20187	13999
1181	20200	13979
1182	20214	13960
1183	20229	13941
1184	20243	13922
1185	20256	13903
1186	20270	13883
1187	20285	13864
1188	20299	13845
1189	20313	13827
1190	20327	13807
1191	20340	13787
1192	20355	13769
1193	20368	13749
1194	20382	13730
1195	20395	13710
1196	20409	13691
1197	20422	13672
1198	20436	13652
1199	20450	13633
1200	20465	13615
